VAR00001;VAR00002;VAR00003;VAR00004;VAR00005;VAR00006;VAR00007;VAR00008;VAR00009
1;2;176;2;110,152725;290,4;798,19;373,31; 
1;2;177;2;110,152725;290,4;6,81;4,87; 
1;2;178;2;110,152725;290,4;115,24;114,87; 
1;2;186;2;110,152725;290,4;721,07;553,65; 
1;2;187;2;110,152725;290,4;861,73;218,44; 
1;2;188;2;110,152725;290,4;223,48;268,3; 
1;2;189;2;110,152725;290,4;406,67;116,04; 
1;2;190;2;110,152725;290,4;651,59;371,23; 
1;2;191;2;110,152725;290,4;699,91;406,48; 
1;2;192;2;110,152725;290,4;1042,34;682,87; 
1;2;221;2;110,152725;290,4;433,2;168,47; 
1;2;222;2;110,152725;290,4;429,8;191,26; 
1;2;223;2;110,152725;290,4;543,25;33,55; 
1;2;224;2;110,152725;290,4;27,55;400,61; 
1;2;225;2;110,152725;290,4;358,97;1199,77; 
1;2;226;2;110,152725;290,4;114,42;648,52; 
2;1;0;2;130;268,75;1270,7;303,3; 
2;1;1;2;130;268,75;1770,1;472,5; 
2;1;2;2;130;268,75;524,7;55,2; 
2;1;3;2;130;268,75;2076,4;1898,7; 
2;1;4;2;130;268,75;2625,7;633,2; 
2;1;5;2;130;268,75;1598;177,8; 
2;1;6;2;130;268,75;2786,9;2194,7; 
2;1;7;2;130;268,75;1659,4;259,5; 
2;1;8;2;130;268,75;1397,9;362,8; 
2;1;9;2;130;268,75;1984,8;1086; 
2;1;10;2;130;268,75;1322,4;804,2; 
2;1;11;2;130;268,75;521,2;114,8; 
2;1;12;2;130;268,75;2521,9;496,5; 
2;1;13;2;130;268,75;1751;292,9; 
2;1;14;2;130;268,75;1238,8;494; 
2;1;15;2;130;268,75;1033,5;932,5; 
2;1;16;2;130;268,75;1310,2;320; 
2;1;17;2;130;268,75;1726,4;315,9; 
2;1;18;2;130;268,75;1929,6;349,4; 
2;1;19;2;130;268,75;1896,9;469,4; 
2;1;20;2;130;268,75;1151,3;854,8; 
2;1;21;2;130;268,75;1312,5;765,7; 
2;1;22;2;130;268,75;1277;278,2; 
2;1;23;2;130;268,75;900,4;253,3; 
2;1;24;2;130;268,75;1845;401,5; 
2;1;25;2;130;268,75;1500,9;439,6; 
